transaction_id,store_id,timestamp,basket_value_inr
1,STORE_BLR_002,2026-04-10T12:15:05Z,302.33
2,STORE_BLR_002,2026-04-10T12:15:05Z,491.77
3,STORE_BLR_002,2026-04-10T12:15:05Z,453.88
4,STORE_BLR_002,2026-04-10T12:42:18Z,1.0
5,STORE_BLR_002,2026-04-10T12:42:18Z,397.38
6,STORE_BLR_002,2026-04-10T12:42:18Z,199.0
7,STORE_BLR_002,2026-04-10T12:42:18Z,614.54
8,STORE_BLR_002,2026-04-10T12:42:18Z,469.77
9,STORE_BLR_002,2026-04-10T12:42:18Z,397.38
10,STORE_BLR_002,2026-04-10T12:42:18Z,445.5
11,STORE_BLR_002,2026-04-10T12:42:18Z,216.42
12,STORE_BLR_002,2026-04-10T12:42:18Z,1085.03
13,STORE_BLR_002,2026-04-10T12:42:18Z,172.8
14,STORE_BLR_002,2026-04-10T12:42:18Z,288.81
15,STORE_BLR_002,2026-04-10T12:42:18Z,315.0
16,STORE_BLR_002,2026-04-10T12:42:18Z,325.0
17,STORE_BLR_002,2026-04-10T12:42:18Z,90.0
18,STORE_BLR_002,2026-04-10T12:42:18Z,614.54
19,STORE_BLR_002,2026-04-10T12:42:18Z,321.0
20,STORE_BLR_002,2026-04-10T12:42:18Z,275.0
21,STORE_BLR_002,2026-04-10T12:42:18Z,578.34
22,STORE_BLR_002,2026-04-10T12:42:18Z,198.0
23,STORE_BLR_002,2026-04-10T12:42:18Z,90.0
24,STORE_BLR_002,2026-04-10T12:42:18Z,0.0
25,STORE_BLR_002,2026-04-10T12:42:18Z,578.34
26,STORE_BLR_002,2026-04-10T12:42:18Z,249.0
27,STORE_BLR_002,2026-04-10T12:42:18Z,321.38
28,STORE_BLR_002,2026-04-10T13:41:55Z,49.5
29,STORE_BLR_002,2026-04-10T13:41:55Z,49.5
30,STORE_BLR_002,2026-04-10T13:41:55Z,49.5
31,STORE_BLR_002,2026-04-10T13:41:55Z,49.5
32,STORE_BLR_002,2026-04-10T13:55:16Z,0.0
33,STORE_BLR_002,2026-04-10T13:55:16Z,199.0
34,STORE_BLR_002,2026-04-10T14:23:21Z,225.0
35,STORE_BLR_002,2026-04-10T15:02:20Z,314.8
36,STORE_BLR_002,2026-04-10T15:02:20Z,255.34
37,STORE_BLR_002,2026-04-10T15:02:20Z,244.84
38,STORE_BLR_002,2026-04-10T15:46:39Z,599.0
39,STORE_BLR_002,2026-04-10T15:50:44Z,400.0
40,STORE_BLR_002,2026-04-10T15:50:44Z,0.0
41,STORE_BLR_002,2026-04-10T16:08:03Z,799.0
42,STORE_BLR_002,2026-04-10T16:45:32Z,553.17
43,STORE_BLR_002,2026-04-10T16:45:32Z,0.0
44,STORE_BLR_002,2026-04-10T16:45:32Z,691.64
45,STORE_BLR_002,2026-04-10T16:45:32Z,1278.0
46,STORE_BLR_002,2026-04-10T16:45:32Z,1.0
47,STORE_BLR_002,2026-04-10T16:45:32Z,553.17
48,STORE_BLR_002,2026-04-10T16:55:36Z,274.36
49,STORE_BLR_002,2026-04-10T16:55:36Z,181.76
50,STORE_BLR_002,2026-04-10T16:55:36Z,273.67
51,STORE_BLR_002,2026-04-10T16:55:36Z,249.0
52,STORE_BLR_002,2026-04-10T16:55:36Z,188.62
53,STORE_BLR_002,2026-04-10T16:55:36Z,350.0
54,STORE_BLR_002,2026-04-10T16:55:36Z,240.06
55,STORE_BLR_002,2026-04-10T16:55:36Z,291.5
56,STORE_BLR_002,2026-04-10T17:44:44Z,299.0
57,STORE_BLR_002,2026-04-10T17:55:02Z,215.67
